"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster","geo_km"
"08-MY","27-OCA",0.330919001522132,3.6828,31.727,2.4272,32.6285,"Northern","Northern",171.983840799717
"21-KT","27-OCA",0.383711801874856,3.1709,32.8049,2.4272,32.6285,"Northern","Northern",85.0798494782568
"26-OG","27-OCA",0.248962251283477,2.4384,32.9124,2.4272,32.6285,"Northern","Northern",31.5997244262819
"01-AIN","27-OCA",0.356733453075631,3.3044,31.1191,2.4272,32.6285,"Northern","Northern",194.156898462892
"03-DUK","27-OCA",0.388232194120695,3.2671,31.1352,2.4272,32.6285,"Northern","Northern",190.542895470973
"02-GAN","27-OCA",0.343346399007787,3.2521,31.1231,2.4272,32.6285,"Northern","Northern",190.908463895922
"20-TUM","27-OCA",0.303913722901084,3.2421,32.7608,2.4272,32.6285,"Northern","Northern",91.8990905213603
"03-DUK","28-AKA",0.379025103079213,3.2671,31.1352,2.3722,32.6757,"Northern","Northern",198.142274269167
"17-LAG","28-AKA",0.360764759614064,3.4407,32.8529,2.3722,32.6757,"Northern","Northern",120.565249925056
"19-KTC","28-AKA",0.289103419237562,3.2823,32.8232,2.3722,32.6757,"Northern","Northern",102.630585932853
"12-OLO","28-AKA",0.337544429073361,3.4016,32.011,2.3722,32.6757,"Northern","Northern",136.354233205227
"08-MY","28-AKA",0.374521290363237,3.6828,31.727,2.3722,32.6757,"Northern","Northern",180.019619704469
"10-PAG","28-AKA",0.364887365010732,3.3777,31.994,2.3722,32.6757,"Northern","Northern",135.177072236478
"07-OSG","28-AKA",0.349965465308003,3.211,31.7253,2.3722,32.6757,"Northern","Northern",141.015337286016
"21-KT","28-AKA",0.381001448843967,3.1709,32.8049,2.3722,32.6757,"Northern","Northern",90.0639371120697
"25-CHU","28-AKA",0.209998501995861,2.6069,32.9379,2.3722,32.6757,"Northern","Northern",39.1526836784818
"02-GAN","28-AKA",0.388971660426038,3.2521,31.1231,2.3722,32.6757,"Northern","Northern",198.478015856057
"18-BOL","28-AKA",0.302177666425869,3.2934,32.7822,2.3722,32.6757,"Northern","Northern",103.228871756991
"09-ORB","28-AKA",0.392322146806232,3.6922,31.7799,2.3722,32.6757,"Northern","Northern",177.504034474586
"27-OCA","28-AKA",0.228967626830709,2.4272,32.6285,2.3722,32.6757,"Northern","Northern",8.06504458245447
"01-AIN","28-AKA",0.3735871265901,3.3044,31.1191,2.3722,32.6757,"Northern","Northern",201.792644970535
"20-TUM","28-AKA",0.289861057541036,3.2421,32.7608,2.3722,32.6757,"Northern","Northern",97.2979799458368
"14-OKS","28-AKA",0.306647046263381,3.2599,32.2241,2.3722,32.6757,"Northern","Northern",110.842997024491
"22-OMI","28-AKA",0.290220855005461,3.0113,32.7323,2.3722,32.6757,"Northern","Northern",71.4221264824554
"26-OG","28-AKA",0.226052898883577,2.4384,32.9124,2.3722,32.6757,"Northern","Northern",27.3380912098219
"15-NGO","28-AKA",0.370146492419375,3.6687,32.5914,2.3722,32.6757,"Northern","Northern",144.629626782919
"24-KIL","28-AKA",0.232396463653871,2.7403,32.9502,2.3722,32.6757,"Northern","Northern",51.0976730974654
"02-GAN","30-OLE",0.372158001499941,3.2521,31.1231,2.3555,32.7159,"Northern","Northern",203.284767291096
"19-KTC","30-OLE",0.325188603238911,3.2823,32.8232,2.3555,32.7159,"Northern","Northern",103.858366419084
"18-BOL","30-OLE",0.271166226998483,3.2934,32.7822,2.3555,32.7159,"Northern","Northern",104.666450220837
"09-ORB","30-OLE",0.388168109548346,3.6922,31.7799,2.3555,32.7159,"Northern","Northern",181.569731318527
"28-AKA","30-OLE",0.228404139707917,2.3722,32.6757,2.3555,32.7159,"Northern","Northern",4.84230933940045
"12-OLO","30-OLE",0.340971200341162,3.4016,32.011,2.3555,32.7159,"Northern","Northern",140.365986153758
"15-NGO","30-OLE",0.357943005283047,3.6687,32.5914,2.3555,32.7159,"Northern","Northern",146.838426214645
"22-OMI","30-OLE",0.289119922333986,3.0113,32.7323,2.3555,32.7159,"Northern","Northern",73.026095680939
"03-DUK","30-OLE",0.387724100441818,3.2671,31.1352,2.3555,32.7159,"Northern","Northern",202.942578625068
"08-MY","30-OLE",0.352816539308457,3.6828,31.727,2.3555,32.7159,"Northern","Northern",184.161994311331
"20-TUM","30-OLE",0.284685347837757,3.2421,32.7608,2.3555,32.7159,"Northern","Northern",98.822038413415
"17-LAG","30-OLE",0.345728450370452,3.4407,32.8529,2.3555,32.7159,"Northern","Northern",121.760295076331
"24-KIL","30-OLE",0.251445117875959,2.7403,32.9502,2.3555,32.7159,"Northern","Northern",50.1381349945724
"14-OKS","30-OLE",0.292119327454035,3.2599,32.2241,2.3555,32.7159,"Northern","Northern",114.568319960696
"27-OCA","30-OLE",0.240033433501084,2.4272,32.6285,2.3555,32.7159,"Northern","Northern",12.5777972054928
"26-OG","30-OLE",0.223203255618227,2.4384,32.9124,2.3555,32.7159,"Northern","Northern",23.7236214982997
"01-AIN","30-OLE",0.355937779831492,3.3044,31.1191,2.3555,32.7159,"Northern","Northern",206.584118833295
"07-OSG","30-OLE",0.356082898063052,3.211,31.7253,2.3555,32.7159,"Northern","Northern",145.604723623102
"25-CHU","30-OLE",0.23169379245462,2.6069,32.9379,2.3555,32.7159,"Northern","Northern",37.3200173256511
"21-KT","30-OLE",0.38326242479268,3.1709,32.8049,2.3555,32.7159,"Northern","Northern",91.3077463583319
"10-PAG","30-OLE",0.332612729762857,3.3777,31.994,2.3555,32.7159,"Northern","Northern",139.247963502262
"19-KTC","31-ACA",0.372248508986898,3.2823,32.8232,2.2699,32.5209,"Northern","Northern",117.605356355397
"07-OSG","31-ACA",0.405981697182749,3.211,31.7253,2.2699,32.5209,"Northern","Northern",137.116844104673
"08-MY","31-ACA",0.403422567541942,3.6828,31.727,2.2699,32.5209,"Northern","Northern",180.352424142758
"14-OKS","31-ACA",0.362100928578327,3.2599,32.2241,2.2699,32.5209,"Northern","Northern",115.041197391076
"09-ORB","31-ACA",0.394063619523802,3.6922,31.7799,2.2699,32.5209,"Northern","Northern",178.47624804042
"26-OG","31-ACA",0.318695273774539,2.4384,32.9124,2.2699,32.5209,"Northern","Northern",47.4129274851921
"24-KIL","31-ACA",0.346309770184579,2.7403,32.9502,2.2699,32.5209,"Northern","Northern",70.8626620138146
"27-OCA","31-ACA",0.303402865771149,2.4272,32.6285,2.2699,32.5209,"Northern","Northern",21.2096792203789
"17-LAG","31-ACA",0.439821255330804,3.4407,32.8529,2.2699,32.5209,"Northern","Northern",135.458909731741
"18-BOL","31-ACA",0.377523775015653,3.2934,32.7822,2.2699,32.5209,"Northern","Northern",117.581383351182
"28-AKA","31-ACA",0.329172403720681,2.3722,32.6757,2.2699,32.5209,"Northern","Northern",20.6433945567746
