"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster"
"07-OSG","28-AKA",0.349965465308003,3.211,31.7253,2.3722,32.6757,"north","north"
"21-KT","28-AKA",0.381001448843967,3.1709,32.8049,2.3722,32.6757,"north","north"
"25-CHU","28-AKA",0.209998501995861,2.6069,32.9379,2.3722,32.6757,"north","north"
"02-GAN","28-AKA",0.388971660426038,3.2521,31.1231,2.3722,32.6757,"north","north"
"18-BOL","28-AKA",0.302177666425869,3.2934,32.7822,2.3722,32.6757,"north","north"
"09-ORB","28-AKA",0.392322146806232,3.6922,31.7799,2.3722,32.6757,"north","north"
"27-OCA","28-AKA",0.228967626830709,2.4272,32.6285,2.3722,32.6757,"north","north"
"01-AIN","28-AKA",0.3735871265901,3.3044,31.1191,2.3722,32.6757,"north","north"
"20-TUM","28-AKA",0.289861057541036,3.2421,32.7608,2.3722,32.6757,"north","north"
"14-OKS","28-AKA",0.306647046263381,3.2599,32.2241,2.3722,32.6757,"north","north"
"22-OMI","28-AKA",0.290220855005461,3.0113,32.7323,2.3722,32.6757,"north","north"
"26-OG","28-AKA",0.226052898883577,2.4384,32.9124,2.3722,32.6757,"north","north"
"15-NGO","28-AKA",0.370146492419375,3.6687,32.5914,2.3722,32.6757,"north","north"
"24-KIL","28-AKA",0.232396463653871,2.7403,32.9502,2.3722,32.6757,"north","north"
"02-GAN","30-OLE",0.372158001499941,3.2521,31.1231,2.3555,32.7159,"north","north"
"19-KTC","30-OLE",0.325188603238911,3.2823,32.8232,2.3555,32.7159,"north","north"
"18-BOL","30-OLE",0.271166226998483,3.2934,32.7822,2.3555,32.7159,"north","north"
"09-ORB","30-OLE",0.388168109548346,3.6922,31.7799,2.3555,32.7159,"north","north"
"28-AKA","30-OLE",0.228404139707917,2.3722,32.6757,2.3555,32.7159,"north","north"
"12-OLO","30-OLE",0.340971200341162,3.4016,32.011,2.3555,32.7159,"north","north"
"15-NGO","30-OLE",0.357943005283047,3.6687,32.5914,2.3555,32.7159,"north","north"
"22-OMI","30-OLE",0.289119922333986,3.0113,32.7323,2.3555,32.7159,"north","north"
"03-DUK","30-OLE",0.387724100441818,3.2671,31.1352,2.3555,32.7159,"north","north"
"08-MY","30-OLE",0.352816539308457,3.6828,31.727,2.3555,32.7159,"north","north"
"20-TUM","30-OLE",0.284685347837757,3.2421,32.7608,2.3555,32.7159,"north","north"
