"","Var1","Var2","resid_ibd","BIO1_mean","BIO2_mean","BIO3_mean","BIO4_mean","BIO5_mean","BIO6_mean","BIO7_mean","BIO8S_mean","BIO9S_mean","BIO10S_mean","BIO11S_mean","BIO12_mean","BIO13_mean","BIO14_mean","BIO15_mean","BIO16S_mean","BIO17S_mean","BIO18S_mean","BIO19S_mean","slope_mean","alt_mean","lakes_mean","riv_3km_mean"
"270","01-AIN","32-APU",-0.0408820875634711,2970.85502128032,88.1813432835821,62.6332369448534,1576.70462919776,3056.49552676073,2914.84576507113,141.649751486707,75.7375622080333,135.839801048165,238.400497254329,134.525870570852,1449.98806079466,358.820896342263,8.25024875099979,83.1815500287867,2979.45240350979,2957.70920227962,2966.69005290928,2957.7733813841,1.57221525782969,970.768240766383,0,1.8909661029433e-12
"271","09-ORB","32-APU",-0.0245297055554517,2972.22566006601,89.1420060966668,62.8166325383454,1573.71597179249,3058.80968150526,2916.14301161561,142.666666868103,76.7345067392481,140.61881180565,234.914466429858,135.286028544108,1454.5731563757,347.841033129802,7.98349838130938,81.3743264730221,2981.25357911768,2958.08223268616,2967.74203118554,2958.3487303076,2.1058461752339,948.737906175871,0,1.68467256807468e-12
"272","10-PAG","32-APU",-0.00931668503150473,2970.82566316357,89.2978848573054,62.7933347534435,1584.87406889465,3057.40655236663,2914.47140183708,142.935146890425,73.6895628733615,131.962343000468,221.704323804528,126.288354115506,1394.78591216658,330.824266760918,7.912133915155,80.4564338269094,2980.06218333224,2956.71025206753,2965.78801034584,2957.03451167789,1.45366981413574,985.839861881783,0,1.81035263888962e-12
"273","20-TUM","32-APU",-0.0651165789026317,2970.8975821994,89.8095108436433,62.8838811457552,1610.63238808335,3057.31898346958,2913.93267539321,143.386313735255,69.6269315252241,126.963576462095,205.402869016129,120.176048177757,1324.06181284923,300.804635963693,7.5982340061112,78.5826056777247,2980.80776108495,2955.60320842819,2965.14624508485,2956.24777363152,1.52060587240371,1005.03997398528,0,2.20631439828612e-12
"274","18-BOL","32-APU",-0.0756108394771051,2970.96514470322,89.8579665849794,62.9675720022909,1603.91975143721,3057.3249434945,2914.04612108147,143.278826347687,70.2692173412011,128.555556003403,207.895177397338,121.789307792232,1335.28406913325,303.032495558637,7.65094340522334,78.6205290308538,2980.8324596477,2955.66981746266,2965.28826098172,2956.32073322032,1.58335219426725,1002.43778329525,0,2.22943498765396e-12
"275","26-OG","32-APU",-0.10142420923845,2967.83680555556,89.0027009116279,62.1847558021545,1655.25116644965,3054.23377821181,2910.5902879503,143.643519719442,65.7773921754625,113.719907336765,189.600694656372,106.660879876879,1249.03471883138,286.65509308709,7.78472224871318,78.7495465808445,2978.03164333767,2952.81944444444,2961.23263549805,2953.53703477648,1.12410004850891,1071.45058695475,0,1.37112561121846e-12
"276","19-KTC","32-APU",-0.0562768590679319,2971.03039400077,89.8829734708056,62.9803428885377,1604.56388346354,3057.36419903791,2914.07922513985,143.284979643645,68.1550068560942,125.325617425236,200.577159928687,118.350308359405,1297.54320987654,293.745884648076,7.44547325593454,78.4331781363782,2980.91906286169,2955.69496437355,2965.33487654321,2956.35646038291,1.46598586808016,1002.07929785458,0,2.02941063093487e-12
"277","27-OCA","33-AP",-0.0225671878540976,2967.59585848722,88.5065237103087,62.3946687524969,1602.34905820904,3053.49746241714,2910.98989405777,142.50757598877,72.4625424471768,117.624999768806,213.244949572014,114.414141452674,1352.20454915365,322.762626416755,8.86616158485413,79.8458736304081,2977.06732362689,2953.96084872159,2961.44065903172,2954.4911702474,0.974576187630494,1059.80881569602,0,1.26812811775541e-12
"278","19-KTC","33-AP",0.00530088704439847,2970.48492591419,89.6990259779685,63.02978515625,1588.43546826428,3056.69632868742,2913.76527476685,142.931064465907,71.1460153669587,127.614746573084,209.561954837819,121.479493945057,1344.20070021065,308.997381400063,7.890052318573,78.8241263584317,2980.12027824362,2955.6670970018,2964.93716510553,2956.2504358741,1.35118374548345,1005.89284687142,0,1.95263171068266e-12
"279","24-KIL","33-AP",-0.0393770393562961,2968.86507448008,89.1724373186138,62.3937372825515,1640.24356723839,3055.15375529544,2911.68661284111,143.467135899503,67.5514475056823,117.109741533306,196.577464466364,110.970070368807,1280.01056509958,293.950705514827,7.93192489382247,78.7238758248343,2978.91803236411,2953.90845586213,2962.49588915328,2954.60327492298,1.12305917737769,1050.17727016395,0,2.03599920655172e-12
